vessel,Category,subcategory,length,beam,GT,DWT,year_built
ZYHY JIN QU,Cargo Ship,General Cargo Ship,202,32,40250,62045,2019
COSCO XING WANG,Cargo Ship,General Cargo Ship,202,32,40250,62014,2020
ZYHY CHUANG XIN,Cargo Ship,General Cargo Ship,202,32,40250,62041,2019
COSCO PENG CHENG,Cargo Ship,General Cargo Ship,202,32,40250,62002,2020
COSCOSHIPPING VISION,Cargo Ship,General Cargo Ship,202,32,40250,61942,2021
COSCO ZHUO YUE,Cargo Ship,General Cargo Ship,202,32,40250,61991,2019
COSCOSHIPPINGHARMONY,Cargo Ship,General Cargo Ship,202,32,40250,61921,2021
COSCO JIN XIU,Cargo Ship,General Cargo Ship,202,32,40250,62003,2019
GREAT ZHOU,Cargo Ship,General Cargo Ship,200,36,39744,64794,2017
ACACIA,Cargo Ship,General Cargo Ship,184,32,31028,40734,1981
MIRANDA,Cargo Ship,General Cargo Ship,201,31,30995,44016,1979
MOMI ARROW,Cargo Ship,General Cargo Ship,190,32,30983,54204,2009
TAWA ARROW,Cargo Ship,General Cargo Ship,190,32,30983,54274,2008
DUBAI CASTLE,Cargo Ship,General Cargo Ship,200,31,30928,48139,1997
APALIS ARROW,Cargo Ship,General Cargo Ship,208,32,30767,42149,1983
SOZON,Cargo Ship,General Cargo Ship,190,32,30488,50779,2010
STAR MAJESTY,Cargo Ship,General Cargo Ship,190,32,30488,50790,2009
ST. ANDREW,Cargo Ship,General Cargo Ship,190,32,30488,50792,2010
YANNIS,Cargo Ship,General Cargo Ship,190,32,30488,50779,2009
GREEN MOUNTAIN,Cargo Ship,General Cargo Ship,200,31,30469,37511,2013
BLUE MASTER II,Cargo Ship,General Cargo Ship,200,31,30469,37444,2013
BRIGHT SKY,Cargo Ship,General Cargo Ship,200,31,30469,37472,2013
GOLDEN KAROO,Cargo Ship,General Cargo Ship,200,31,30469,37472,2013
STAR MINERVA,Cargo Ship,General Cargo Ship,190,32,30360,50757,2008
CARRARA CASTLE,Cargo Ship,General Cargo Ship,211,31,30163,44959,1984
PACIFIC CELEBES,Cargo Ship,General Cargo Ship,198,32,30150,41600,1984
HANGCHOW,Cargo Ship,General Cargo Ship,198,32,30061,41949,1984
GLOBAL ROSE,Cargo Ship,General Cargo Ship,188,32,29892,51661,2012
ORION,Cargo Ship,General Cargo Ship,188,32,29892,51679,2012
AMERICA PEARL,Cargo Ship,General Cargo Ship,183,30,27440,45556,2014
POLAND PEARL,Cargo Ship,General Cargo Ship,183,30,27428,45474,2015
NORWAY PEARL,Cargo Ship,General Cargo Ship,183,30,27428,45474,2015
MERRY TRANS,Cargo Ship,General Cargo Ship,188,32,27226,40698,1985
KAI YUE,Cargo Ship,General Cargo Ship,182,30,27225,43934,1992
STAR GRAN,Cargo Ship,General Cargo Ship,198,29,27192,43759,1986
STAR GRIP,Cargo Ship,General Cargo Ship,198,29,27192,43712,1986
YU PENG,Cargo Ship,General Cargo Ship,200,28,27143,29775,2016
STAR DERBY,Cargo Ship,General Cargo Ship,183,31,27104,43700,1979
PEARL,Cargo Ship,General Cargo Ship,183,29,27069,38695,1981
AQUA PEARL,Cargo Ship,General Cargo Ship,183,29,27069,38695,1981
SEA PEARL,Cargo Ship,General Cargo Ship,183,29,27013,38760,1986
CARIBE PEARL,Cargo Ship,General Cargo Ship,183,29,27012,38760,1986
STEEL WISDOM,Cargo Ship,General Cargo Ship,190,31,27011,46641,1995
TIAN YOU,Cargo Ship,General Cargo Ship,190,28,26787,37077,2018
TIAN EN,Cargo Ship,General Cargo Ship,190,28,26787,37125,2017
TIAN HUI,Cargo Ship,General Cargo Ship,190,28,26787,37130,2017
TIAN QI,Cargo Ship,General Cargo Ship,190,28,26770,37940,2016
TIAN JIAN,Cargo Ship,General Cargo Ship,190,28,26770,37979,2016
TIAN LE,Cargo Ship,General Cargo Ship,190,28,26770,37994,2016
AMSTEL CONFIDENCE,Cargo Ship,General Cargo Ship,183,30,24020,38503,2011
IVS MERLIN,Cargo Ship,General Cargo Ship,183,30,24020,38468,2011
BC AMER,Cargo Ship,General Cargo Ship,183,30,24020,38486,2013
AGIA FOTINI,Cargo Ship,General Cargo Ship,185,20,23950,38140,2012
DEVBULK SARE,Cargo Ship,General Cargo Ship,185,31,23950,40445,2012
AGIA IOANNA,Cargo Ship,General Cargo Ship,185,31,23950,38173,2012
NEPTUNE ISLAND,Cargo Ship,General Cargo Ship,185,31,23950,38191,2012
AAL HONG KONG,Cargo Ship,General Cargo Ship,194,29,23930,32124,2013
AAL PUSAN,Cargo Ship,General Cargo Ship,194,29,23930,32279,2012
AAL MELBOURNE,Cargo Ship,General Cargo Ship,194,29,23930,32128,2013
AAL SHANGHAI,Cargo Ship,General Cargo Ship,194,29,23930,32106,2012
AAL DALIAN,Cargo Ship,General Cargo Ship,194,29,23930,32190,2013
AAL SINGAPORE,Cargo Ship,General Cargo Ship,194,29,23930,32134,2011
BAHRI DIRIYAH,Cargo Ship,General Cargo Ship,194,29,23930,32241,2014
AAL KEMBLA,Cargo Ship,General Cargo Ship,194,29,23930,32173,2011
AAL BRISBANE,Cargo Ship,General Cargo Ship,194,29,23930,32312,2010
AAL KOBE,Cargo Ship,General Cargo Ship,194,29,23930,32043,2012
CIELO DEI MARONTI,Cargo Ship,General Cargo Ship,183,30,23917,37133,2017
CIELO DI IYO,Cargo Ship,General Cargo Ship,183,30,23917,37204,2017
KEN YO,Cargo Ship,General Cargo Ship,185,31,23915,38462,2012
MSC MADISON II,Cargo Ship,General Cargo Ship,193,28,23132,30538,2002
YU RONG,Cargo Ship,General Cargo Ship,193,28,23132,30490,2002
MARIA FRANCISCA,Cargo Ship,General Cargo Ship,193,28,23132,30611,2004
ATLANTIC PROJECT II,Cargo Ship,General Cargo Ship,193,28,23132,30586,2002
ATLANTIC NAVIGATORII,Cargo Ship,General Cargo Ship,193,28,23132,30345,2003
DALIAN,Cargo Ship,General Cargo Ship,193,28,23119,29827,2004
LILA MUMBAI,Cargo Ship,General Cargo Ship,193,28,23119,29912,2003
MPV URANIA,Cargo Ship,General Cargo Ship,193,28,23119,30018,2003
JAKARTA,Cargo Ship,General Cargo Ship,193,28,23119,29901,2003
MPV THALIA,Cargo Ship,General Cargo Ship,193,28,23119,29878,2003
KYO,Cargo Ship,General Cargo Ship,193,28,23119,29827,2002
ZEA,Cargo Ship,General Cargo Ship,193,28,23119,30095,2003
MPV CLIO,Cargo Ship,General Cargo Ship,193,28,23119,30151,2003
HAMBURG,Cargo Ship,General Cargo Ship,193,28,23119,29980,2002
ECO TIDE,Cargo Ship,General Cargo Ship,178,28,23054,35916,2011
TIGER MAANSHAN,Cargo Ship,Deck Cargo Ship,192,37,23040,26177,2022
TIGER LIANYUNGANG,Cargo Ship,Deck Cargo Ship,192,37,23040,26151,2022
TIGER LONGKOU,Cargo Ship,Deck Cargo Ship,192,37,23040,26200,2022
DAFNI,Cargo Ship,General Cargo Ship,183,28,22998,34037,2011
CS FLOURISH,Cargo Ship,General Cargo Ship,183,28,22998,34022,2010
FATIMA 2,Cargo Ship,Deck Cargo Ship,150,37,22538,32140,2015
INCA MAIDEN,Cargo Ship,General Cargo Ship,170,27,22531,22133,1986
SEASTAR AVALON,Cargo Ship,General Cargo Ship,180,30,22522,36228,2017
SSI DARING,Cargo Ship,General Cargo Ship,180,30,22522,36228,2017
KS CAMELLIA,Cargo Ship,General Cargo Ship,180,30,22522,36170,2015
OCEANIC PRAISE,Cargo Ship,General Cargo Ship,180,30,22476,37431,2015
WELLPARK,Cargo Ship,General Cargo Ship,180,30,22469,37429,2014
ES CARE,Cargo Ship,General Cargo Ship,177,30,22468,35510,2015
ES VANQUISH,Cargo Ship,General Cargo Ship,177,30,22468,35510,2015
TIZIANA,Cargo Ship,General Cargo Ship,177,30,22457,35443,2016
CAPTAIN D,Cargo Ship,General Cargo Ship,177,30,22457,35443,2016
SN SERENITY,Cargo Ship,General Cargo Ship,180,30,22426,36228,2016
HUANGHAI STRUGGLER,Cargo Ship,General Cargo Ship,166,28,22362,31777,2014
ATLANTIC HARMONY,Cargo Ship,General Cargo Ship,166,28,22362,31776,2017
BALTIC HARMONY,Cargo Ship,General Cargo Ship,166,28,22362,31777,2016
CARIBBEAN HARMONY,Cargo Ship,General Cargo Ship,166,28,22362,31777,2017
CASPIAN HARMONY,Cargo Ship,General Cargo Ship,166,28,22362,31671,2016
PACIFIC HARMONY,Cargo Ship,General Cargo Ship,166,28,22362,31798,2015
DAIWAN ELEGANCE,Cargo Ship,General Cargo Ship,177,30,22314,35531,2015
DAIWAN GLORY,Cargo Ship,General Cargo Ship,177,30,22314,35531,2015
MANTA NILGUN,Cargo Ship,General Cargo Ship,180,28,21192,33671,2011
PETRA,Cargo Ship,General Cargo Ship,180,28,21192,33688,2011
LUNARA,Cargo Ship,General Cargo Ship,180,28,21192,33709,2010
PROPEL PASSION,Cargo Ship,General Cargo Ship,180,28,21192,33686,2011
DINO,Cargo Ship,General Cargo Ship,180,28,21192,33371,2009
PRINCESS SHAHD,Cargo Ship,General Cargo Ship,180,28,21192,33387,2009
K BEREKET,Cargo Ship,General Cargo Ship,180,28,21192,33225,2008
LADY JAMILA,Cargo Ship,General Cargo Ship,180,28,21192,33427,2007
OBE DINARES,Cargo Ship,General Cargo Ship,180,28,21192,33440,2008
ALONI,Cargo Ship,General Cargo Ship,180,28,21192,33399,2010
ELEGANT EMILIE,Cargo Ship,General Cargo Ship,180,28,21192,33248,2008
BALTIC ACE,Cargo Ship,General Cargo Ship,180,28,21188,33428,2018
PRINCESSE OUI,Cargo Ship,General Cargo Ship,180,28,21185,33375,2015
SIBAL,Cargo Ship,General Cargo Ship,180,28,21183,33364,2015
LENA,Cargo Ship,General Cargo Ship,177,29,21183,33297,2016
IVS SUNBIRD,Cargo Ship,General Cargo Ship,177,29,21181,33399,2015
REGIUS,Cargo Ship,General Cargo Ship,180,28,21179,33395,2016
CENTURIUS,Cargo Ship,General Cargo Ship,180,28,21179,33367,2015
LEFKES,Cargo Ship,General Cargo Ship,180,28,21178,33398,2014
ANSAC MOON BEAR,Cargo Ship,General Cargo Ship,180,28,21178,33426,2017
PAC DUBHE,Cargo Ship,General Cargo Ship,179,27,20471,27408,2006
PAC ALKAID,Cargo Ship,General Cargo Ship,179,27,20471,27464,2003
DA HONG XIA,Cargo Ship,General Cargo Ship,166,27,20454,28377,2012
DA CAI YUN,Cargo Ship,General Cargo Ship,166,27,20454,28377,2012
DA TONG YUN,Cargo Ship,General Cargo Ship,166,27,20454,28377,2011
SINPYONG6,Cargo Ship,General Cargo Ship,154,26,20398,27097,1996
MANTA PENYEZ,Cargo Ship,General Cargo Ship,177,28,20319,32260,1999
MANTA HACER,Cargo Ship,General Cargo Ship,173,29,20283,32316,2004
LADY ZEHMA,Cargo Ship,General Cargo Ship,173,29,20283,32328,2005
EMERALD BAY,Cargo Ship,General Cargo Ship,177,28,20242,32258,2008
CORINTHIAN SPIRE,Cargo Ship,General Cargo Ship,177,28,20242,32154,2009
IRON LADY,Cargo Ship,General Cargo Ship,177,28,20238,32283,2009
INOI,Cargo Ship,General Cargo Ship,177,28,20238,32301,2010
GLOR,Cargo Ship,General Cargo Ship,177,28,20238,32256,2007
POCHARD S,Cargo Ship,General Cargo Ship,177,28,20238,32285,2007
BC CALLISTO,Cargo Ship,General Cargo Ship,177,28,20238,32280,2010
IRMA S,Cargo Ship,General Cargo Ship,177,28,20236,32295,2008
HAI NAM 85,Cargo Ship,General Cargo Ship,177,28,20236,32226,2009
GLOBAL ARSENAL,Cargo Ship,General Cargo Ship,177,28,20236,32313,2008
KAMENARI,Cargo Ship,General Cargo Ship,177,28,20236,32326,2010
HH PEARL,Cargo Ship,General Cargo Ship,172,27,19707,32130,1999
KEN GOH,Cargo Ship,General Cargo Ship,172,27,19707,31939,2001
ANEMOS,Cargo Ship,General Cargo Ship,172,27,19707,32128,1999
LOA FORTUNE,Cargo Ship,General Cargo Ship,175,27,19534,24316,2014
LIBERTY HARVEST,Cargo Ship,General Cargo Ship,175,27,19534,24290,2014
RUN FU 3,Cargo Ship,General Cargo Ship,172,27,19495,32115,1997
CERULEAN,Cargo Ship,General Cargo Ship,168,26,19454,25240,2013
RUBYMAR,Cargo Ship,General Cargo Ship,172,27,19420,32211,1997
LIBER,Cargo Ship,General Cargo Ship,170,28,19385,30027,1985
OCEAN LAND,Cargo Ship,General Cargo Ship,170,28,19385,30027,1984
SENATOR,Cargo Ship,General Cargo Ship,181,26,19357,29458,1996
PRINCESS LAYLA,Cargo Ship,General Cargo Ship,181,26,19354,29501,1998
LADY RANIA,Cargo Ship,General Cargo Ship,181,26,19354,29538,1996
PRINCESS COCO,Cargo Ship,General Cargo Ship,181,26,19354,29534,1997
ANGELINA,Cargo Ship,General Cargo Ship,181,26,19354,29519,1997
OCEAN HOPE,Cargo Ship,General Cargo Ship,181,26,19354,29513,1996
LADY MICKEY,Cargo Ship,General Cargo Ship,181,26,19354,29517,1997
ICE,Cargo Ship,General Cargo Ship,169,25,19293,25950,1983
AAL GENOA,Cargo Ship,General Cargo Ship,160,28,19128,25733,2010
AAL GUNSAN,Cargo Ship,General Cargo Ship,160,28,19128,25747,2010
PARKGRACHT,Cargo Ship,General Cargo Ship,169,25,17628,20170,2009
SAPAI,Cargo Ship,General Cargo Ship,170,26,17590,28860,1989
ATALANTIS,Cargo Ship,General Cargo Ship,170,26,17590,28843,1991
NETTE,Cargo Ship,General Cargo Ship,180,23,17534,25568,2003
CONTI EXPRESS,Cargo Ship,General Cargo Ship,170,27,17465,22597,1981
PANAMA EXPRESS,Cargo Ship,General Cargo Ship,170,27,17280,22312,1983
PACIFIC ISLANDER 2,Cargo Ship,General Cargo Ship,161,25,17265,17916,2003
YUAN HENG,Cargo Ship,General Cargo Ship,167,28,17150,26268,1984
KING FEAST,Cargo Ship,General Cargo Ship,178,27,17128,22337,1979
CORAL ISLANDER 2,Cargo Ship,General Cargo Ship,161,25,17111,17913,2002
ABDULAZIZ ARAB,Cargo Ship,General Cargo Ship,193,23,17109,24113,1982
KING SUCCESS,Cargo Ship,General Cargo Ship,187,23,17101,22800,1987
DEAL CASTLE,Cargo Ship,General Cargo Ship,166,28,17098,26320,1983
PIONEER,Cargo Ship,General Cargo Ship,169,23,17094,22140,1996
TALNAKH,Cargo Ship,General Cargo Ship,169,26,17031,17940,2008
NORILSKIY NICKEL,Cargo Ship,General Cargo Ship,169,23,17031,18486,2006
NADEZHDA,Cargo Ship,General Cargo Ship,169,26,17029,17940,2009
DONIAMBO,Cargo Ship,General Cargo Ship,161,26,17023,28428,2007
ZAPOLYARNYY,Cargo Ship,General Cargo Ship,169,26,16994,18294,2008
MONCHEGORSK,Cargo Ship,General Cargo Ship,169,26,16994,18276,2008
LE JIN,Cargo Ship,General Cargo Ship,169,25,15542,22296,1999
LE SHUN,Cargo Ship,General Cargo Ship,169,25,15542,22296,1999
Z STAR,Cargo Ship,General Cargo Ship,169,25,15529,22318,1999
HAN LI,Cargo Ship,General Cargo Ship,182,23,15506,20433,1989
HAJ MOHAMAD,Cargo Ship,General Cargo Ship,164,24,15500,23483,1996
MJ SOFIA,Cargo Ship,General Cargo Ship,164,24,15500,23483,1995
GOZDE BAYRAKTAR,Cargo Ship,General Cargo Ship,157,25,15479,21417,2009
AYSE NAZ BAYRAKTAR,Cargo Ship,General Cargo Ship,156,25,15479,21417,2008
VINASHIP STAR,Cargo Ship,General Cargo Ship,158,26,15438,23948,1996
BR MIRAL,Cargo Ship,General Cargo Ship,158,26,15355,23923,1997
SANTORINI,Cargo Ship,General Cargo Ship,158,26,15349,24175,1998
SAMUDRA SAKTI V,Cargo Ship,General Cargo Ship,158,26,15349,24159,1997
CEYNOWA,Cargo Ship,General Cargo Ship,157,24,15235,15622,1982
KING HERO,Cargo Ship,General Cargo Ship,160,24,15163,23382,1983
BBC RHEIDERLAND,Cargo Ship,General Cargo Ship,161,25,14941,17551,2013
BBC RHONETAL,Cargo Ship,General Cargo Ship,161,25,14941,17577,2013
MBEYA,Cargo Ship,General Cargo Ship,160,24,14912,23127,2008
BBC REEF,Cargo Ship,General Cargo Ship,162,25,14859,17954,2011
BBC REGALIA,Cargo Ship,General Cargo Ship,162,25,14859,17907,2012
BBC RAINBOW,Cargo Ship,General Cargo Ship,162,25,14859,18019,2010
IBI,Cargo Ship,General Cargo Ship,150,24,13694,19949,2005
DP POLAR,Cargo Ship,General Cargo Ship,164,22,13677,10700,1989
INUYAMA,Cargo Ship,General Cargo Ship,150,24,13668,19922,2009
TIKA,Cargo Ship,General Cargo Ship,166,23,13651,18235,1990
MSC PATRICIA,Cargo Ship,General Cargo Ship,166,24,13651,18150,1990
MERATUS SEMARANG,Cargo Ship,General Cargo Ship,153,24,13621,20501,1998
ADAMOON,Cargo Ship,General Cargo Ship,150,24,13579,19580,2011
PATAGONMAN,Cargo Ship,General Cargo Ship,150,24,13579,18858,2012
CARTAGENA,Cargo Ship,General Cargo Ship,150,24,13579,18809,2012
CSL FLEXVIK,Cargo Ship,General Cargo Ship,150,24,13579,17074,2012
PICHON,Cargo Ship,General Cargo Ship,150,24,13579,18846,2012
FENEL,Cargo Ship,General Cargo Ship,159,23,13567,22969,1986
DIJKSGRACHT,Cargo Ship,General Cargo Ship,157,23,13558,17381,2008
DAMGRACHT,Cargo Ship,General Cargo Ship,157,23,13558,18143,2009
DANZIGERGRACHT,Cargo Ship,General Cargo Ship,157,23,13558,18143,2009
DELTAGRACHT,Cargo Ship,General Cargo Ship,157,23,13558,18143,2009
EASTERN CHARM,Cargo Ship,General Cargo Ship,160,25,13428,22430,1982
BALTIC WIND,Cargo Ship,General Cargo Ship,143,22,13340,16558,2004
TRANSUND,Cargo Ship,General Cargo Ship,142,22,13340,16612,2002
URA,Cargo Ship,General Cargo Ship,158,23,13335,16882,1986
BBC PEARL,Cargo Ship,General Cargo Ship,153,23,12838,14418,2012
BBC AQUAMARINE,Cargo Ship,General Cargo Ship,153,23,12838,14465,2012
BBC AMBER,Cargo Ship,General Cargo Ship,153,23,12838,14403,2011
BBC OPAL,Cargo Ship,General Cargo Ship,154,23,12810,14359,2011
OCEAN FREEDOM,Cargo Ship,General Cargo Ship,154,23,12810,14359,2010
BBC ONYX,Cargo Ship,General Cargo Ship,154,23,12810,14359,2011
BBC TOPAZ,Cargo Ship,General Cargo Ship,153,23,12810,14288,2010
GALA,Cargo Ship,General Cargo Ship,164,23,12804,16740,1977
STINNES ZEPHIR,Cargo Ship,General Cargo Ship,144,22,12795,17273,2011
CONDOR BILBAO,Cargo Ship,General Cargo Ship,145,22,12795,17287,2012
CONDOR VALPARAISO,Cargo Ship,General Cargo Ship,145,23,12795,17257,2011
STINNES PASSAT,Cargo Ship,General Cargo Ship,144,24,12795,17299,2011
AUGUSTA LUNA,Cargo Ship,General Cargo Ship,144,23,12772,17370,2011
GOTLAND,Cargo Ship,General Cargo Ship,144,23,12772,17409,2011
CORRIENTES II,Cargo Ship,General Cargo Ship,159,23,12762,20712,1977
XIANG AN CHENG,Cargo Ship,General Cargo Ship,147,25,12725,20621,1985
SLNC YORK,Cargo Ship,General Cargo Ship,143,24,12679,9503,2010
URSA MAJOR,Cargo Ship,General Cargo Ship,142,23,12679,9490,2009
AQUA BLESSING,Cargo Ship,General Cargo Ship,157,23,12666,17400,1979
SUNNY FAITH,Cargo Ship,General Cargo Ship,130,23,12630,17221,2007
YM EVEREST,Cargo Ship,General Cargo Ship,152,22,11594,16717,2014
SOLNTSE VOSTOKA,Cargo Ship,General Cargo Ship,149,22,11583,13593,1989
SZCZECIN,Cargo Ship,General Cargo Ship,149,22,11581,13634,1987
CAPE ANN,Cargo Ship,General Cargo Ship,174,23,11580,12932,1962
INTERBOARD I,Cargo Ship,General Cargo Ship,149,22,11574,13864,1988
MONA S,Cargo Ship,General Cargo Ship,150,22,11573,13593,1987
MADDOX,Cargo Ship,General Cargo Ship,149,23,11542,16883,1995
TAILWIND,Cargo Ship,General Cargo Ship,149,23,11542,16880,1995
BBC UKRAINE,Cargo Ship,General Cargo Ship,147,23,11522,12500,2021
BBC MANILA,Cargo Ship,General Cargo Ship,147,23,11522,12325,2022
BBC KHERSON,Cargo Ship,General Cargo Ship,147,23,11522,12325,2022
BBC SEBASTOPOL,Cargo Ship,General Cargo Ship,147,23,11522,12325,2022
BBC ARKHANGELSK,Cargo Ship,General Cargo Ship,148,23,11503,12325,2020
BBC ST.PETERSBURG,Cargo Ship,General Cargo Ship,148,23,11503,12396,2020
TIN ZIREN,Cargo Ship,General Cargo Ship,147,23,11497,12550,2016
CHARLIE,Cargo Ship,General Cargo Ship,145,23,11494,12234,2022
TIMGAD,Cargo Ship,General Cargo Ship,147,23,11494,12161,2016
RONNIE,Cargo Ship,General Cargo Ship,148,23,11494,12325,2021
KEITH,Cargo Ship,General Cargo Ship,145,23,11494,12234,2019
MICK,Cargo Ship,General Cargo Ship,145,23,11494,12234,2019
CRUX TWIN,Cargo Ship,General Cargo Ship,119,21,9931,13531,2023
COSMIC TIGER,Cargo Ship,General Cargo Ship,120,21,9929,13591,2016
COSMIC OAK,Cargo Ship,General Cargo Ship,120,21,9929,13622,2016
COSMIC ACE,Cargo Ship,General Cargo Ship,120,21,9929,13604,2016
COSMIC POLARIS,Cargo Ship,General Cargo Ship,120,21,9929,13568,2017
LAKAS,Cargo Ship,General Cargo Ship,120,21,9926,13522,2015
NILIKHA,Cargo Ship,General Cargo Ship,120,21,9926,13554,2015
KYOWA ORCHID,Cargo Ship,General Cargo Ship,125,21,9924,12122,2009
MINAMOTO,Cargo Ship,General Cargo Ship,128,20,9910,14454,2005
MERATUS SPIRIT 1,Cargo Ship,General Cargo Ship,148,22,9909,13226,1988
ASIAN HAWK,Cargo Ship,General Cargo Ship,125,22,9901,14195,2020
ASIAN GRACIAS,Cargo Ship,General Cargo Ship,125,22,9901,14184,2020
SEA ORIENTAL,Cargo Ship,General Cargo Ship,128,20,9892,14386,2010
CLIO FORWARD,Cargo Ship,General Cargo Ship,128,20,9881,14451,2007
DERYOUNG SPACE,Cargo Ship,General Cargo Ship,119,21,9878,12076,2019
FUTURE OCEAN,Cargo Ship,General Cargo Ship,128,20,9873,14514,2005
LUNA,Cargo Ship,General Cargo Ship,148,22,9870,13453,1992
HOSEI LIBERTY,Cargo Ship,General Cargo Ship,128,20,9815,14017,2012
MITO,Cargo Ship,General Cargo Ship,128,20,9815,14049,2010
SHUNXIANG,Cargo Ship,General Cargo Ship,128,20,9815,14041,2011
BBC MICHIGAN,Cargo Ship,General Cargo Ship,138,21,9618,12768,2010
ERIK,Cargo Ship,General Cargo Ship,138,21,9618,12763,2008
PIA,Cargo Ship,General Cargo Ship,138,21,9618,12732,2007
BBC PLATA,Cargo Ship,General Cargo Ship,138,21,9618,12837,2005
OLIVIA,Cargo Ship,General Cargo Ship,138,21,9616,12546,2011
SOPHIA,Cargo Ship,General Cargo Ship,138,21,9616,12590,2011
FESCO ULISS,Cargo Ship,General Cargo Ship,138,21,9615,12711,2004
OCEAN SEAGULL,Cargo Ship,General Cargo Ship,120,21,9615,12812,2009
FESCO OLGA,Cargo Ship,General Cargo Ship,138,21,9614,12744,2007
GWEN,Cargo Ship,General Cargo Ship,139,21,9611,12692,2008
NORDIC KYLIE,Cargo Ship,General Cargo Ship,138,21,9611,12760,2005
SAN COSMAS,Cargo Ship,General Cargo Ship,138,21,9611,12744,2005
BBC DAKOTA,Cargo Ship,General Cargo Ship,138,21,9611,12684,2008
UAL MANITOBA,Cargo Ship,General Cargo Ship,138,21,9611,12744,2007
BBC WASHINGTON,Cargo Ship,General Cargo Ship,138,21,9611,12786,2004
SINEGORSK,Cargo Ship,General Cargo Ship,138,21,9611,12798,2004
ZELADA DESGAGNES,Cargo Ship,General Cargo Ship,139,21,9611,12692,2009
MAIA-1,Cargo Ship,General Cargo Ship,138,21,9611,12717,2006
FESCO PARIS,Cargo Ship,General Cargo Ship,138,21,9611,12828,2004
LADY D,Cargo Ship,General Cargo Ship,138,21,9611,12717,2006
SABAHAT SONAY,Cargo Ship,General Cargo Ship,143,22,9490,14889,2007
NANBU,Cargo Ship,General Cargo Ship,131,20,9467,12137,2013
NANIWA,Cargo Ship,General Cargo Ship,131,20,9467,12144,2013
NAGATO,Cargo Ship,General Cargo Ship,131,20,9467,12150,2013
NARUTO,Cargo Ship,General Cargo Ship,131,20,9467,12160,2013
SS 3,Cargo Ship,General Cargo Ship,137,22,9436,11626,1999
SS 2,Cargo Ship,General Cargo Ship,137,22,9436,11654,1998
DK ITONIA,Cargo Ship,General Cargo Ship,121,27,9413,12574,2012
HE FENG,Cargo Ship,General Cargo Ship,90,16,9395,15060,1979
HAN HUI,Cargo Ship,General Cargo Ship,130,22,9373,10358,1998
RAHMEH-1,Cargo Ship,General Cargo Ship,147,22,9350,11639,1981
SELECTA,Cargo Ship,General Cargo Ship,146,20,9294,14030,2007
EVANS SPIRIT,Cargo Ship,General Cargo Ship,140,21,9286,15026,2007
BLAIR MCKEIL,Cargo Ship,General Cargo Ship,140,21,9286,14906,2010
THAI BINH 89,Cargo Ship,General Cargo Ship,145,21,9276,14738,2007
INTAN DAYA 322,Cargo Ship,General Cargo Ship,130,25,9269,12000,2012
INTAN DAYA 228,Cargo Ship,General Cargo Ship,130,25,9269,12000,2012
AZOV FORWARD,Cargo Ship,General Cargo Ship,145,22,9256,12657,2019
JIA HONG,Cargo Ship,General Cargo Ship,131,20,9243,11827,2004
SCORPIO,Cargo Ship,General Cargo Ship,134,20,8861,11932,2000
JIN FU,Cargo Ship,General Cargo Ship,141,20,8859,15240,1978
AMALIA,Cargo Ship,General Cargo Ship,150,15,8849,14389,2024
MAXIMA,Cargo Ship,General Cargo Ship,150,16,8849,14330,2021
BEGONIA S,Cargo Ship,General Cargo Ship,140,20,8837,12119,2007
EGBERT WAGENBORG,Cargo Ship,General Cargo Ship,150,16,8827,14327,2017
EURASIA,Cargo Ship,General Cargo Ship,147,20,8823,13497,1984
DERYOUNG SUNBRIGHT,Cargo Ship,General Cargo Ship,117,20,8818,11238,2013
H SEAL,Cargo Ship,General Cargo Ship,130,20,8812,11981,2008
DERYOUNG SUNNYSKY,Cargo Ship,General Cargo Ship,117,20,8808,11225,2015
BBC EDGE,Cargo Ship,General Cargo Ship,139,19,8750,10382,2009
BBC KIMBERLEY,Cargo Ship,General Cargo Ship,139,20,8750,10340,2009
BBC ECHO,Cargo Ship,General Cargo Ship,139,20,8750,10308,2010
BBC EAGLE,Cargo Ship,General Cargo Ship,139,20,8750,10340,2008
KOOKYANGEXPRESS,Cargo Ship,General Cargo Ship,112,20,8739,10810,2001
TOSEI MARU,Cargo Ship,General Cargo Ship,112,20,8739,10810,2000
MSC MARIA,Cargo Ship,General Cargo Ship,125,19,8721,9355,1993
APOLLO TRIUMPH,Cargo Ship,General Cargo Ship,117,20,8718,12317,2010
HINANO,Cargo Ship,General Cargo Ship,117,20,8718,12292,2010
SUN BLUESPIRE,Cargo Ship,General Cargo Ship,117,20,8718,12318,2011
JUTHA MARITIMO,Cargo Ship,General Cargo Ship,110,19,7514,11342,2008
ST CHERRY,Cargo Ship,General Cargo Ship,110,19,7513,11330,2007
MV MARTIN ONE,Cargo Ship,General Cargo Ship,143,18,7511,10618,2001
TCI ARJUN,Cargo Ship,General Cargo Ship,143,18,7511,10545,2002
SEIYO FORTUNE,Cargo Ship,General Cargo Ship,105,20,7508,10514,2007
KMC MIRACLE,Cargo Ship,General Cargo Ship,110,19,7506,11300,2007
GG SEJATI,Cargo Ship,General Cargo Ship,111,20,7504,10738,2004
INDUSTRIAL COLOR,Cargo Ship,General Cargo Ship,100,20,7498,8428,2019
INDUSTRIAL COURAGE,Cargo Ship,General Cargo Ship,100,21,7498,8442,2018
